Product,Group,Geo,Date,Qty
Software,3DS,Other,2019-03-31,5.19
Nintendo 3DS,3DS,Japan,2019-03-31,0.0
Nintendo 3DS,3DS,The Americas,2019-03-31,0.0
Nintendo 3DS,3DS,Other,2019-03-31,0.0
Nintendo 3DS XL,3DSXL,Japan,2020-03-31,0.0
Nintendo 3DS XL,3DSXL,The Americas,2020-03-31,0.0
Nintendo 3DS XL,3DSXL,Other,2020-03-31,0.0
Nintendo 2DS,2DS,Japan,2020-03-31,0.0
Nintendo 2DS,2DS,The Americas,2020-03-31,0.1
Nintendo 2DS,2DS,Other,2020-03-31,0.1
New Nintendo 3DS,3DS,Japan,2020-03-31,0.0
New Nintendo 3DS,3DS,The Americas,2020-03-31,0.0
New Nintendo 3DS,3DS,Other,2020-03-31,0.0
New Nintendo 3DS XL,3DSXL,Japan,2020-03-31,0.0
New Nintendo 3DS XL,3DSXL,The Americas,2020-03-31,0.0
New Nintendo 3DS XL,3DSXL,Other,2020-03-31,0.0
New Nintendo 2DS XL,2DSXL,Japan,2020-03-31,0.08
New Nintendo 2DS XL,2DSXL,The Americas,2020-03-31,0.19
New Nintendo 2DS XL,2DSXL,Other,2020-03-31,0.22
Software,3DS,Japan,2020-03-31,0.48
Software,3DS,The Americas,2020-03-31,2.34
Software,3DS,Other,2020-03-31,2.17
Nintendo 3DS,3DS,Japan,2020-03-31,0.0
Nintendo 3DS,3DS,The Americas,2020-03-31,0.0
Nintendo 3DS,3DS,Other,2020-03-31,0.0
Nintendo 3DS XL,3DSXL,Japan,2021-03-31,0.0
Nintendo 3DS XL,3DSXL,The Americas,2021-03-31,0.0
Nintendo 3DS XL,3DSXL,Other,2021-03-31,0.0
Nintendo 2DS,2DS,Japan,2021-03-31,0.0
Nintendo 2DS,2DS,The Americas,2021-03-31,0.0
Nintendo 2DS,2DS,Other,2021-03-31,0.0
New Nintendo 3DS,3DS,Japan,2021-03-31,0.0
New Nintendo 3DS,3DS,The Americas,2021-03-31,0.0
New Nintendo 3DS,3DS,Other,2021-03-31,0.0
New Nintendo 3DS XL,3DSXL,Japan,2021-03-31,0.0
New Nintendo 3DS XL,3DSXL,The Americas,2021-03-31,0.0
New Nintendo 3DS XL,3DSXL,Other,2021-03-31,0.0
New Nintendo 2DS XL,2DSXL,Japan,2021-03-31,0.0
New Nintendo 2DS XL,2DSXL,The Americas,2021-03-31,0.17
New Nintendo 2DS XL,2DSXL,Other,2021-03-31,0.0
Software,3DS,Japan,2021-03-31,0.65
Software,3DS,The Americas,2021-03-31,1.53
Software,3DS,Other,2021-03-31,1.21
Nintendo 3DS,3DS,Japan,2021-03-31,0.0
Nintendo 3DS,3DS,The Americas,2021-03-31,0.0
Nintendo 3DS,3DS,Other,2021-03-31,0.0
Nintendo 3DS XL,3DSXL,Japan,2022-03-31,0.0
Nintendo 3DS XL,3DSXL,The Americas,2022-03-31,0.0
Nintendo 3DS XL,3DSXL,Other,2022-03-31,0.0
Nintendo 2DS,2DS,Japan,2022-03-31,0.0
Nintendo 2DS,2DS,The Americas,2022-03-31,0.0
Nintendo 2DS,2DS,Other,2022-03-31,0.0
New Nintendo 3DS,3DS,Japan,2022-03-31,0.0
New Nintendo 3DS,3DS,The Americas,2022-03-31,0.0
New Nintendo 3DS,3DS,Other,2022-03-31,0.0
New Nintendo 3DS XL,3DSXL,Japan,2022-03-31,0.0
New Nintendo 3DS XL,3DSXL,The Americas,2022-03-31,0.0
New Nintendo 3DS XL,3DSXL,Other,2022-03-31,0.0
New Nintendo 2DS XL,2DSXL,Japan,2022-03-31,0.0
New Nintendo 2DS XL,2DSXL,The Americas,2022-03-31,0.0
New Nintendo 2DS XL,2DSXL,Other,2022-03-31,0.0
Software,3DS,Japan,2022-03-31,0.34
Software,3DS,The Americas,2022-03-31,1.03
Software,3DS,Other,2022-03-31,0.7000000000000001
Nintendo 3DS,3DS,Japan,2022-03-31,0.0
Nintendo 3DS,3DS,The Americas,2022-03-31,0.0
Nintendo 3DS,3DS,Other,2022-03-31,0.0
Nintendo 3DS XL,3DSXL,Japan,2023-03-31,0.0
Nintendo 3DS XL,3DSXL,The Americas,2023-03-31,0.0
Nintendo 3DS XL,3DSXL,Other,2023-03-31,0.0
Nintendo 2DS,2DS,Japan,2023-03-31,0.0
Nintendo 2DS,2DS,The Americas,2023-03-31,0.0
Nintendo 2DS,2DS,Other,2023-03-31,0.0
New Nintendo 3DS,3DS,Japan,2023-03-31,0.0
New Nintendo 3DS,3DS,The Americas,2023-03-31,0.0
New Nintendo 3DS,3DS,Other,2023-03-31,0.0
New Nintendo 3DS XL,3DSXL,Japan,2023-03-31,0.0
New Nintendo 3DS XL,3DSXL,The Americas,2023-03-31,0.0
New Nintendo 3DS XL,3DSXL,Other,2023-03-31,0.0
New Nintendo 2DS XL,2DSXL,Japan,2023-03-31,0.0
New Nintendo 2DS XL,2DSXL,The Americas,2023-03-31,0.0
New Nintendo 2DS XL,2DSXL,Other,2023-03-31,0.0
Software,3DS,Japan,2023-03-31,1.17
Software,3DS,The Americas,2023-03-31,1.02
Software,3DS,Other,2023-03-31,0.64
Nintendo 3DS,3DS,Japan,2023-03-31,0.0
Nintendo 3DS,3DS,The Americas,2023-03-31,0.0
Nintendo 3DS,3DS,Other,2023-03-31,0.0
